case,vertices,seed,status,solved,nodes,backtracks,elapsed_seconds,edges,labels
fiveleaf3-1-2-1-2-1-1-2,11,,solved,1,51,40,0.000996,0-1 1-3 3-2 0-4 0-5 5-6 1-7 2-8 2-9 9-10,0 10 6 2 7 9 8 4 1 3 5
fiveleaf3-1-2-1-2-1-2-2,12,,solved,1,19,7,0.001000,0-1 1-3 3-2 0-4 0-5 5-6 1-7 2-8 8-9 2-10 10-11,0 11 9 2 8 10 7 6 3 1 5 4
fiveleaf3-1-2-1-2-2-1-2,12,,solved,1,40,28,0.001001,0-1 1-3 3-2 0-4 0-5 5-6 1-7 7-8 2-9 2-10 10-11,0 11 9 2 1 10 4 3 8 6 5 7
fiveleaf3-1-2-1-2-2-2-2,13,,solved,1,21,8,0.000000,0-1 1-3 3-2 0-4 0-5 5-6 1-7 7-8 2-9 9-10 2-11 11-12,0 12 10 2 7 11 9 3 8 4 1 6 5
fiveleaf3-1-2-2-2-1-2-2,13,,solved,1,32,19,0.001001,0-1 1-3 3-2 0-4 4-5 0-6 6-7 1-8 2-9 9-10 2-11 11-12,0 12 1 3 11 5 10 7 4 8 9 6 2
fiveleaf3-1-2-2-2-2-2-2,14,,solved,1,26,12,0.000000,0-1 1-3 3-2 0-4 4-5 0-6 6-7 1-8 8-9 2-10 10-11 2-12 12-13,0 13 1 3 12 8 11 6 4 5 9 2 7 10
fiveleaf3-2-1-1-1-1-1-2,10,,solved,1,32,22,0.000000,0-3 3-1 1-2 0-4 0-5 1-6 2-7 2-8 8-9,1 0 9 8 3 2 6 5 4 7
fiveleaf3-2-1-1-1-1-2-2,11,,solved,1,39,28,0.000000,0-3 3-1 1-2 0-4 0-5 1-6 2-7 7-8 2-9 9-10,1 0 10 9 7 4 5 3 2 6 8
fiveleaf3-2-1-1-1-2-1-2,11,,solved,1,35,24,0.001506,0-3 3-1 1-2 0-4 0-5 1-6 6-7 2-8 2-9 9-10,2 0 10 9 6 1 8 3 4 7 5
fiveleaf3-2-1-1-1-2-2-2,12,,solved,1,12,0,0.000000,0-3 3-1 1-2 0-4 0-5 1-6 6-7 2-8 8-9 2-10 10-11,2 0 11 10 7 6 9 8 4 1 5 3
fiveleaf3-2-1-1-2-1-2-2,12,,solved,1,110,98,0.002138,0-3 3-1 1-2 0-4 0-5 5-6 1-7 2-8 8-9 2-10 10-11,1 0 11 10 4 9 8 7 5 3 6 2
fiveleaf3-2-1-1-2-2-2-2,13,,solved,1,20,7,0.001462,0-3 3-1 1-2 0-4 0-5 5-6 1-7 7-8 2-9 9-10 2-11 11-12,2 0 12 11 3 9 5 10 8 4 7 6 1
fiveleaf3-2-2-1-1-1-1-1,10,,solved,1,144,134,0.002029,0-3 3-1 1-4 4-2 0-5 0-6 1-7 2-8 2-9,0 1 8 9 3 7 6 2 4 5
fiveleaf3-2-2-1-1-1-1-2,11,,solved,1,37,26,0.000000,0-3 3-1 1-4 4-2 0-5 0-6 1-7 2-8 2-9 9-10,0 1 2 10 9 6 4 3 5 7 8
fiveleaf3-2-2-1-1-1-2-2,12,,solved,1,12,0,0.000998,0-3 3-1 1-4 4-2 0-5 0-6 1-7 2-8 8-9 2-10 10-11,0 1 2 11 10 5 4 3 9 6 8 7
fiveleaf3-2-2-1-1-2-1-1,11,,solved,1,114,103,0.001993,0-3 3-1 1-4 4-2 0-5 0-6 1-7 7-8 2-9 2-10,0 1 2 10 9 5 3 7 8 6 4
fiveleaf3-2-2-1-1-2-1-2,12,,solved,1,12,0,0.000000,0-3 3-1 1-4 4-2 0-5 0-6 1-7 7-8 2-9 2-10 10-11,0 1 3 11 10 6 4 9 7 2 8 5
fiveleaf3-2-2-1-1-2-2-2,13,,solved,1,34,21,0.001005,0-3 3-1 1-4 4-2 0-5 0-6 1-7 7-8 2-9 9-10 2-11 11-12,0 1 3 12 11 7 2 10 5 9 6 4 8
fiveleaf3-2-2-1-2-1-1-2,12,,solved,1,13,1,0.000000,0-3 3-1 1-4 4-2 0-5 0-6 6-7 1-8 2-9 2-10 10-11,0 2 3 11 9 8 10 6 7 5 4 1
fiveleaf3-2-2-1-2-1-2-2,13,,solved,1,15,2,0.000000,0-3 3-1 1-4 4-2 0-5 0-6 6-7 1-8 2-9 9-10 2-11 11-12,0 2 3 12 10 9 11 6 8 7 5 4 1
fiveleaf3-2-2-1-2-2-1-2,13,,solved,1,22,9,0.001511,0-3 3-1 1-4 4-2 0-5 0-6 6-7 1-8 8-9 2-10 2-11 11-12,0 2 3 12 10 9 11 7 8 5 4 1 6
fiveleaf3-2-2-1-2-2-2-2,14,,solved,1,15,1,0.001013,0-3 3-1 1-4 4-2 0-5 0-6 6-7 1-8 8-9 2-10 10-11 2-12 12-13,0 2 3 13 11 10 12 6 9 5 8 7 1 4
fiveleaf3-2-2-2-2-1-2-2,14,,solved,1,66,52,0.000994,0-3 3-1 1-4 4-2 0-5 5-6 0-7 7-8 1-9 2-10 10-11 2-12 12-13,0 3 6 13 10 12 4 11 2 5 1 7 9 8
fiveleaf3-2-2-2-2-2-2-2,15,,solved,1,27,12,0.000999,0-3 3-1 1-4 4-2 0-5 5-6 0-7 7-8 1-9 9-10 2-11 11-12 2-13 13-14,0 3 7 14 11 13 4 12 2 10 9 1 6 5 8
