interaction,order,total,robust_hard,conditional_rate,baseline_rate,enrichment
fiveleaf2e AND terminal_min_le2,2,640,2,0.003125,0.005113999573833369,0.6110677083333333
central_odd AND middle_leaf_short,2,339,1,0.0029498525073746312,0.005113999573833369,0.576819075712881
fiveleaf3e AND central_odd AND middle_leaf_short,3,339,1,0.0029498525073746312,0.005113999573833369,0.576819075712881
central_even AND unbalanced_ge9,2,366,1,0.00273224043715847,0.005113999573833369,0.5342668488160291
fiveleaf3e AND central_even AND unbalanced_ge9,3,366,1,0.00273224043715847,0.005113999573833369,0.5342668488160291
both_short_le3 AND central_even AND terminal_min_ge3,3,380,1,0.002631578947368421,0.005113999573833369,0.5145833333333333
terminal_min_le2 AND unbalanced_ge9,2,453,1,0.002207505518763797,0.005113999573833369,0.43165930831493743
bridge_le3 AND central_even,2,1021,2,0.0019588638589618022,0.005113999573833369,0.3830395037544891
fiveleaf3e AND bridge_le3 AND central_even,3,1021,2,0.0019588638589618022,0.005113999573833369,0.3830395037544891
both_short_le3 AND central_even,2,553,1,0.0018083182640144665,0.005113999573833369,0.35360156720916214
bridge_le3 AND both_short_le3 AND central_even,3,553,1,0.0018083182640144665,0.005113999573833369,0.35360156720916214
fiveleaf3e AND both_short_le3 AND central_even,3,553,1,0.0018083182640144665,0.005113999573833369,0.35360156720916214
terminal_min_le2,1,1689,2,0.0011841326228537595,0.005113999573833369,0.23154726662719555
both_short_le3 AND balanced AND middle_leaf_short,3,25,0,0.0,0.005113999573833369,0.0
both_short_le3 AND central_even AND balanced,3,83,0,0.0,0.005113999573833369,0.0
both_short_le3 AND central_even AND middle_leaf_short,3,67,0,0.0,0.005113999573833369,0.0
both_short_le3 AND central_even AND terminal_min_le2,3,173,0,0.0,0.005113999573833369,0.0
both_short_le3 AND central_odd AND terminal_min_le2,3,175,0,0.0,0.005113999573833369,0.0
both_short_le3 AND terminal_min_le2,2,348,0,0.0,0.005113999573833369,0.0
both_short_le3 AND terminal_min_le2 AND balanced,3,33,0,0.0,0.005113999573833369,0.0
both_short_le3 AND terminal_min_le2 AND middle_leaf_short,3,68,0,0.0,0.005113999573833369,0.0
both_short_le3 AND terminal_min_le2 AND unbalanced_ge9,3,148,0,0.0,0.005113999573833369,0.0
bridge_eq3,1,166,0,0.0,0.005113999573833369,0.0
bridge_eq3 AND terminal_min_ge3,2,94,0,0.0,0.005113999573833369,0.0
bridge_eq3 AND terminal_min_le2,2,72,0,0.0,0.005113999573833369,0.0
bridge_eq3 AND terminal_min_le2 AND unbalanced_ge9,3,18,0,0.0,0.005113999573833369,0.0
bridge_eq3 AND unbalanced_ge9,2,51,0,0.0,0.005113999573833369,0.0
bridge_eq3 AND unbalanced_ge9 AND terminal_min_ge3,3,33,0,0.0,0.005113999573833369,0.0
bridge_le3 AND both_short_le3 AND terminal_min_le2,3,348,0,0.0,0.005113999573833369,0.0
bridge_le3 AND bridge_eq3,2,166,0,0.0,0.005113999573833369,0.0
bridge_le3 AND bridge_eq3 AND terminal_min_ge3,3,94,0,0.0,0.005113999573833369,0.0
bridge_le3 AND bridge_eq3 AND terminal_min_le2,3,72,0,0.0,0.005113999573833369,0.0
bridge_le3 AND bridge_eq3 AND unbalanced_ge9,3,51,0,0.0,0.005113999573833369,0.0
bridge_le3 AND central_even AND terminal_min_le2,3,385,0,0.0,0.005113999573833369,0.0
